10 minutes,53
15 minutes,63
2 hours,604
2 shuttles,80
20 minutes,186
3 hours,52
30 minutes,144
45 minutes,58
5 stars,268
90 minute,54
across street,80
adventure dome,212
airline ever,124
amusement park,86
another airline,63
another flight,44
another room,74
another shuttle,65
asian food,360
bacchanal buffet,753
back room,104
baggage fees,39
bed bugs,68
best buffet,1379
boarding pass,77
booked flight,39
buffet ever,372
buffet las,268
buffet vegas,934
buffets vegas,352
called front,580
came back,423
car center,84
car company,60
car fox,51
car place,51
car rental,369
carnival games,83
carrot top,127
carry bag,68
carry bags,44
carry luggage,39
carving station,443
casino floor,293
casino tower,91
charge everything,42
check bag,41
check line,250
checked bag,65
chinese food,270
circus acts,144
circus circus,1512
clean room,61
coffee maker,73
come back,1707
convention center,155
could give,65
crab legs,3133
credit card,177
creme brulee,262
criss angel,132
customer service,2464
debit card,54
definitely worth,275
dessert bar,430
dessert section,311
dessert station,288
dim sum,725
early check,123
end strip,470
even though,963
ever fly,49
every time,388
excalibur hotel,101
experience ever,107
feel like,186
felt like,187
first night,45
first time,1464
flamingo hotel,130
flat screen,77
flight attendant,51
flight attendants,86
flight cancelled,44
flight delayed,113
flight vegas,39
fly airline,79
fly spirit,180
flying spirit,48
food court,807
food good,431
fox car,49
fox rent,149
fox rental,123
free circus,63
free shuttle,129
fried chicken,294
front desk,3999
full size,52
gave us,564
get car,214
get pay,355
get rental,54
get room,953
go back,1169
go pool,129
go room,455
go rooms,220
got car,50
got room,773
grand hotel,106
grand tower,190
great location,174
great place,69
guest services,119
hidden fees,51
high roller,147
hot water,416
hotel casino,554
hotel room,1032
hotel strip,91
hotels strip,217
hour delay,43
ice cream,626
ipanema tower,74
kid friendly,88
king crab,726
lamb chops,405
las vegas,3730
last resort,103
last time,68
lazy river,501
leg room,80
line get,47
location strip,132
long line,362
long wait,272
looked like,296
luxor hotel,121
luxor mandalay,101
made order,389
make sure,834
mandalay bay,760
masquerade tower,129
mgm grand,1157
middle strip,197
mini bar,65
money worth,257
motel 6,64
much better,259
never ever,42
never fly,142
never rent,63
never stay,818
new room,179
new york,694
next day,601
next door,150
next flight,42
next time,1045
non smoking,775
north tower,46
one best,417
one night,490
one way,45
parking garage,115
parking lot,85
pay extra,58
penn teller,116
per person,684
personal item,53
pick car,81
place stay,723
pool area,716
pretty good,648
prime rib,1470
print boarding,45
pyramid room,166
pyramid rooms,153
quality food,543
really good,445
really nice,125
rent car,298
rent fox,53
rental car,446
rental center,78
rental company,71
rental place,88
rented car,51
resort fee,2021
resort fees,576
return car,74
return flight,52
returned car,78
rio hotel,79
room clean,960
room nice,310
room pyramid,125
room ready,107
room service,1120
rooms nice,115
round trip,98
royal tower,88
said would,49
sales people,54
san diego,62
seafood buffet,113
seafood section,257
seats recline,41
selection food,265
shuttle airport,62
shuttles get,108
skyrise tower,67
smelled like,159
smoking room,270
snow crab,382
somewhere else,283
spirit airline,49
spirit airlines,330
sports book,61
staff friendly,211
stay away,52
stay circus,90
stay excalibur,128
stay flamingo,207
stay hotel,474
stay luxor,327
stay mgm,302
stay rio,186
stay westgate,59
stayed excalibur,112
stayed flamingo,206
stayed luxor,250
stayed mgm,255
stayed rio,117
staying luxor,137
staying mgm,172
staying rio,77
strip view,278
take 2,55
take shuttle,60
take two,67
time share,274
timeshare presentation,52
told us,579
total rewards,273
tournament kings,105
tower 1,127
tower 2,158
tower room,174
tower rooms,131
trying get,51
two shuttles,99
upgraded room,49
us room,49
variety food,285
vegas buffet,385
view strip,74
voodoo lounge,100
wait line,514
wait time,395
well worth,276
west tower,333
west wing,554
westgate las,45
wet republic,221
wicked spoon,860
worst airline,152
worst car,48
worst experience,44
worst hotel,115
worth price,290
would recommend,299
would stay,682
year old,101
years ago,272
york new,171
zero stars,44
